Ticker;Nom;Secteur;Pays;Prix Actuel;Devise;Capitalisation (M);Année;Chiffre d'Affaires (M);Résultat Net (M);Marge Nette (%);ROE (%);Dette/Equity;PER (Trailing);Croissance CA 3ans (%);Croissance Bénéfice 3ans (%);Tendance
AI.PA;L'Air Liquide S.A.;Basic Materials;France;158.66;EUR;91842.7;2024;27057.8;3306.1;12.22;12.31;0.46;26.758852;-9.61;19.84;⚠️ Déclin
AI.PA;L'Air Liquide S.A.;Basic Materials;France;158.66;EUR;91842.7;2023;27607.6;3078.0;11.15;12.66;0.49;26.758852;-9.61;19.84;⚠️ Déclin
AI.PA;L'Air Liquide S.A.;Basic Materials;France;158.66;EUR;91842.7;2022;29934.0;2758.8;9.22;11.62;0.56;26.758852;-9.61;19.84;⚠️ Déclin
AI.PA;L'Air Liquide S.A.;Basic Materials;France;158.66;EUR;91842.7;2021;23334.8;2572.2;11.02;11.98;0.65;26.758852;-9.61;19.84;⚠️ Déclin
BAS.DE;BASF SE;Basic Materials;Germany;44.36;EUR;39592.3;2024;65260.0;1298.0;1.99;3.65;0.67;130.47058;-25.27;307.02;⚠️ Déclin
BAS.DE;BASF SE;Basic Materials;Germany;44.36;EUR;39592.3;2023;68902.0;225.0;0.33;0.64;0.61;130.47058;-25.27;307.02;⚠️ Déclin
BAS.DE;BASF SE;Basic Materials;Germany;44.36;EUR;39592.3;2022;87327.0;-627.0;-0.72;-1.58;0.53;130.47058;-25.27;307.02;⚠️ Déclin
BAS.DE;BASF SE;Basic Materials;Germany;44.36;EUR;39592.3;2021;78598.0;5523.0;7.03;13.54;0.47;130.47058;-25.27;307.02;⚠️ Déclin
DHL.DE;Deutsche Post AG;Industrials;Germany;46.58;EUR;53716.8;2024;84186.0;3332.0;3.96;14.0;0.94;15.172639;-10.85;-37.82;⚠️ Déclin
DHL.DE;Deutsche Post AG;Industrials;Germany;46.58;EUR;53716.8;2023;81758.0;3675.0;4.49;16.35;0.93;15.172639;-10.85;-37.82;⚠️ Déclin
DHL.DE;Deutsche Post AG;Industrials;Germany;46.58;EUR;53716.8;2022;94436.0;5359.0;5.67;23.06;0.87;15.172639;-10.85;-37.82;⚠️ Déclin
DHL.DE;Deutsche Post AG;Industrials;Germany;46.58;EUR;53716.8;2021;81747.0;5053.0;6.18;26.54;1.0;15.172639;-10.85;-37.82;⚠️ Déclin
ENEL.MI;Enel SpA;Utilities;Italy;8.948;EUR;89968.7;2024;70649.0;7016.0;9.93;20.8;2.09;14.913333;-31.19;317.12;⚠️ Déclin
ENEL.MI;Enel SpA;Utilities;Italy;8.948;EUR;89968.7;2023;82499.0;3438.0;4.17;10.83;2.32;14.913333;-31.19;317.12;⚠️ Déclin
ENEL.MI;Enel SpA;Utilities;Italy;8.948;EUR;89968.7;2022;102666.0;1682.0;1.64;5.87;3.07;14.913333;-31.19;317.12;⚠️ Déclin
ENEL.MI;Enel SpA;Utilities;Italy;8.948;EUR;89968.7;2021;68372.0;3189.0;4.66;10.75;2.39;14.913333;-31.19;317.12;⚠️ Déclin
ENI.MI;Eni S.p.A.;Energy;Italy;16.386;EUR;48608.7;2024;88797.0;2624.0;2.96;4.97;0.7;19.982927;-32.99;-81.1;⚠️ Déclin
ENI.MI;Eni S.p.A.;Energy;Italy;16.386;EUR;48608.7;2023;93717.0;4771.0;5.09;8.97;0.64;19.982927;-32.99;-81.1;⚠️ Déclin
ENI.MI;Eni S.p.A.;Energy;Italy;16.386;EUR;48608.7;2022;132512.0;13887.0;10.48;25.36;0.58;19.982927;-32.99;-81.1;⚠️ Déclin
ENI.MI;Eni S.p.A.;Energy;Italy;16.386;EUR;48608.7;2021;76575.0;5821.0;7.6;13.1;0.75;19.982927;-32.99;-81.1;⚠️ Déclin
IBE.MC;Iberdrola, S.A.;Utilities;Spain;18.575;EUR;124103.8;2024;44739.0;5612.0;12.54;11.91;1.23;23.21875;-17.07;29.34;⚠️ Déclin
IBE.MC;Iberdrola, S.A.;Utilities;Spain;18.575;EUR;124103.8;2023;49335.0;4803.0;9.74;11.14;1.43;23.21875;-17.07;29.34;⚠️ Déclin
IBE.MC;Iberdrola, S.A.;Utilities;Spain;18.575;EUR;124103.8;2022;53949.0;4339.0;8.04;10.55;1.23;23.21875;-17.07;29.34;⚠️ Déclin
IBE.MC;Iberdrola, S.A.;Utilities;Spain;18.575;EUR;124103.8;2021;39114.0;3885.0;9.93;9.6;1.09;23.21875;-17.07;29.34;⚠️ Déclin
KER.PA;Kering SA;Consumer Cyclical;France;303.1;EUR;37166.2;2024;17194.0;1133.0;6.59;7.6;1.3;51.112988;-15.51;-68.65;⚠️ Déclin
KER.PA;Kering SA;Consumer Cyclical;France;303.1;EUR;37166.2;2023;19566.0;2983.0;15.25;19.61;1.12;51.112988;-15.51;-68.65;⚠️ Déclin
KER.PA;Kering SA;Consumer Cyclical;France;303.1;EUR;37166.2;2022;20351.0;3614.0;17.76;25.82;0.8;51.112988;-15.51;-68.65;⚠️ Déclin
KER.PA;Kering SA;Consumer Cyclical;France;303.1;EUR;37166.2;2021;17645.0;3176.0;18.0;23.8;0.72;51.112988;-15.51;-68.65;⚠️ Déclin
STLAM.MI;Stellantis N.V.;Consumer Cyclical;Netherlands;9.567;EUR;27636.6;2024;156878.0;5473.0;3.49;6.7;0.46;N/A;-12.65;-67.42;⚠️ Déclin
STLAM.MI;Stellantis N.V.;Consumer Cyclical;Netherlands;9.567;EUR;27636.6;2023;189544.0;18596.0;9.81;22.76;0.36;N/A;-12.65;-67.42;⚠️ Déclin
STLAM.MI;Stellantis N.V.;Consumer Cyclical;Netherlands;9.567;EUR;27636.6;2022;179592.0;16799.0;9.35;23.33;0.38;N/A;-12.65;-67.42;⚠️ Déclin
STLAM.MI;Stellantis N.V.;Consumer Cyclical;Netherlands;9.567;EUR;27636.6;2021;149419.0;14200.0;9.5;25.4;0.6;N/A;-12.65;-67.42;⚠️ Déclin
